,subject,condition,position_index,billboard_image_at_position,billboard_emotionality,billboard#_fixated,billboard#_fixated_count,billboard#_duration,recall,recognition
6,sub017,free viewing,7,diabetes,low_emo,1,1.0,0.6200000000000045,1,1
7,sub017,free viewing,8,hotel,high_emo,1,2.0,2.969999999999999,0,1
8,sub017,free viewing,9,buckle_up,low_emo,1,3.0,1.6300000000000097,1,1
9,sub017,free viewing,10,HIV,high_emo,1,2.0,3.079999999999984,0,1
10,sub017,free viewing,11,wash_hands,low_emo,1,1.0,0.6699999999999875,0,1
11,sub017,free viewing,12,furniture,high_emo,1,2.0,3.640000000000015,0,1
12,sub017,free viewing,13,smoking,low_emo,1,2.0,3.3999999999999773,0,1
13,sub017,free viewing,14,text_driving,low_emo,1,1.0,1.3100000000000025,0,1
14,sub017,free viewing,15,drugged_driving,high_emo,1,1.0,0.700000000000017,0,1
15,sub017,free viewing,16,brunch,low_emo,1,2.0,2.6699999999999875,0,1
16,sub017,free viewing,17,coffee,high_emo,1,2.0,2.049999999999983,1,1
17,sub017,free viewing,18,vaping,low_emo,1,1.0,1.260000000000019,1,1
18,sub017,free viewing,19,education_donation,low_emo,1,2.0,1.8700000000000043,0,1
19,sub017,free viewing,20,burger,high_emo,1,3.0,2.660000000000025,0,1
0,sub018,free viewing,1,marijuana,high_emo,1,5.0,7.199999999999999,1,1
1,sub018,free viewing,2,sun_protection,low_emo,1,3.0,1.7000000000000028,0,0
